spotify:track:7b6UwwF09KUK1QXoUdojjE,Moments Capsuled in Time,Old Current 3,Benjamin Gustafsson,Rest This Worried Heart,0,0.147,-21.667,0.0361,0.988,0.956,0.0601,0.0359,66.658,101613
spotify:track:4pr31JsI5qADn6dHd7t5cQ,First,Old Current 3,Roary,First,27,0.252,-14.558,0.0367,0.88,0.931,0.103,0.144,114.788,275600
spotify:track:4mj0eDXQaPjTIub0CI9dpW,Moments,Old Current 3,MitiS,'Til the End,49,0.778,-3.236,0.0508,0.463,0,0.101,0.182,149.89,278400
spotify:track:3K7vPyMCcecKRotnu08MMP,Crazier Things (with Noah Kahan),Old Current 3,Chelsea Cutler,Crazier Things,60,0.274,-13.53,0.033,0.813,0,0.162,0.316,93.025,264585
spotify:track:1BlQWQgGP84r4GYUVty4Ar,Mess,Old Current 3,Noah Kahan,Busyhead,67,0.826,-5.32,0.0775,0.176,0,0.0978,0.601,80.848,213320
spotify:track:0vp09QgBhShrQOL2w7P8k4,Recovery,Old Current 3,Rival Consoles,Odyssey / Sonne,54,0.461,-11.337,0.0593,0.0978,0.815,0.102,0.119,155.008,290202
spotify:track:5eG8QuQKOBvDeCyoOeMkhT,Alps,Old Current 3,Novo Amor,Alps,64,0.311,-10.377,0.0321,0.965,0.0315,0.204,0.135,146.631,194160
spotify:track:0939D7aT18uBDS2MTjWzct,Higher Power,Old Current 3,Coldplay,Higher Power,73,0.828,-6.023,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,211295
spotify:track:2JDMJhjJmx2GtMz5HFSTim,Life In Color,Old Current 3,OneRepublic,Native,45,0.891,-3.512,0.0784,0.000599,1.34e-06,0.0877,0.285,126.917,202840
spotify:track:2kJT4xIBwWNq8Zr4z3yvJk,Magical Thinking - New Dawn Edit,Old Current 3,Shallou,Magical Thinking (New Dawn Edit),26,0.459,-8.435,0.0382,0.0352,0.93,0.0941,0.0649,119.373,151271
spotify:track:7McExzjmhDI5NQ6l4D9XR9,Remove The Complexities,Old Current 3,Peter Sandberg,Dismantle,59,0.116,-21.701,0.0328,0.988,0.951,0.122,0.109,167.941,135668
spotify:track:25kGCuGWAYfyoz7RozlTpO,Motion,Old Current 3,Peter Sandberg,Motion,58,0.00965,-34.079,0.0487,0.995,0.917,0.107,0.0895,176.173,191121
spotify:track:0GehqN1MkS7feXJWWk97KU,High And Dry,Old Current 3,Rosie Carney,The Bends,51,0.145,-14.402,0.0348,0.911,0.000991,0.126,0.157,106.597,232000
spotify:track:0z4eTq4BtDiNN5IFQSUBau,About You Now,Old Current 3,Meadowlark,Nocturnes,43,0.278,-9.255,0.0325,0.893,0,0.0929,0.286,127.439,227065
spotify:track:4OrLA7boWjy9X7fnWLxjld,Unconditional,Old Current 3,Richard Walters,Unconditional,0,0.221,-11.317,0.0287,0.88,0.00536,0.213,0.152,62.577,260000
spotify:track:7FdvD8jMcvUW5xbxSsQTA8,we’ll be fine - acoustic,Old Current 3,Luz,we’ll be fine (acoustic),39,0.122,-12.599,0.0527,0.9,0,0.0893,0.372,102.607,296560
spotify:track:3UekVNBa1Loh1r7feLHKqa,New York Time,Old Current 3,Cj Pandit,New York Time,34,0.347,-12.553,0.028,0.356,7.61e-05,0.19,0.264,131.858,252821
spotify:track:0bQIKSVDrgbBxlxTaqGRqM,Just Tell People How You Feel,Old Current 3,Pretty Preachers Club,Just Tell People How You Feel,38,0.139,-19.592,0.0284,0.854,0.000106,0.22,0.324,110.971,138681
spotify:track:1ipAB0J5JVEY0nrMH8TBGJ,Ellipse,Old Current 3,Oh Hiroshima,In Silence We Yearn,42,0.793,-6.5,0.0469,0.000356,0.865,0.205,0.0421,167.887,241227
spotify:track:55fg1bDXyNUsY2KaSMNFpA,Open Your Eyes,Old Current 3,Snow Patrol,Eyes Open,1,0.798,-6.386,0.0307,0.000762,0.000863,0.101,0.046,130.972,341267
spotify:track:4EKMLcDmI7I5bORpsWgQg1,On Reflection,Old Current 3,Max Richter,Black Mirror - Nosedive (Music From The Original TV Series),43,0.0852,-21.057,0.0359,0.978,0.936,0.0805,0.0362,66.616,434862
spotify:track:4xfL2dqtc9NrMmVnp8tiSN,The Swimmer,Old Current 3,Max Richter,Disconnect (Original Motion Picture Soundtrack),35,0.195,-16.926,0.0543,0.701,0.967,0.102,0.0342,77.023,126733
spotify:track:5idHpiVxmrmS9OPr9X161L,Afghanistan,Old Current 3,Max Richter,Disconnect (Original Motion Picture Soundtrack),11,0.0161,-33.362,0.0429,0.993,0.911,0.0831,0.0393,75.873,93427
spotify:track:7vbCfkJf89i4s745KbELgr,20:17,Old Current 3,Ólafur Arnalds,Trance Frendz,58,0.0224,-29.089,0.039,0.987,0.866,0.111,0.169,107.849,354989
spotify:track:5I6y1KWmUoV5YCaIEcs1qs,Should Have Known Better,Old Current 3,Sufjan Stevens,Carrie & Lowell,0,0.172,-20.7,0.0318,0.979,0.275,0.124,0.297,90.972,307698
